Variable,Description,Type,Values
ResponseID,Unique anonymous response identifier,String,R0001-R0423
Gender,Gender of respondent,Categorical,"Female, Male"
Role,Professional role seniority,Categorical,"Managerial, Operational"
CompanySize,Company size category,Categorical,"Large (>500), SME (<500)"
Industry,Industry sector,Categorical,"Technology, Financial Services, Manufacturing, Logistics, Other"
Region,Geographic region,Categorical,"Europe, North Africa, Gulf"
AIStage,AI adoption stage in organization,Categorical,"Full Deployment, Pilot, Early Exploration"
YearsExperience,Years of experience in HR,Numeric,2-25 years
Efficiency_1,Recruitment Efficiency: AI reduces time-to-hire,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_2,Recruitment Efficiency: AI improves screening accuracy,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_3,Recruitment Efficiency: AI optimizes resource allocation,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_4,Recruitment Efficiency: AI reduces cost per hire,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_5,Recruitment Efficiency: AI enhances candidate pipeline quality,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_6,Recruitment Efficiency: AI reduces administrative workload,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Efficiency_7,Recruitment Efficiency: AI improves predictive hiring outcomes,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_1,Candidate Experience: AI improves communication clarity,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_2,Candidate Experience: AI enables timely application follow-up,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_3,Candidate Experience: AI increases transparency in process stages,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_4,Candidate Experience: AI improves accessibility of platforms,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_5,Candidate Experience: AI enables personalization of interactions,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_6,Candidate Experience: AI improves responsiveness to queries,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Experience_7,Candidate Experience: AI enhances overall candidate satisfaction,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_1,Perceived Fairness and Bias: AI reduces bias in screening,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_2,Perceived Fairness and Bias: AI promotes equity across demographic groups,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_3,Perceived Fairness and Bias: AI ensures gender parity in selections,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_4,Perceived Fairness and Bias: AI maintains socio-economic neutrality,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_5,Perceived Fairness and Bias: AI accommodates disability needs,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_6,Perceived Fairness and Bias: AI promotes ethnic and cultural inclusivity,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Fairness_7,Perceived Fairness and Bias: AI reduces risk of discrimination,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_1,Trust and Transparency: AI decisions are explainable,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_2,Trust and Transparency: I am confident in AI recommendations,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_3,Trust and Transparency: AI systems are accountable,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_4,Trust and Transparency: Data usage is transparent,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_5,Trust and Transparency: Decision criteria are clear,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_6,Trust and Transparency: I am comfortable with automated decisions,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
Trust_7,Trust and Transparency: I rely on AI outputs in final hiring,Likert Scale,"1=Strongly Disagree, 2=Disagree, 3=Neutral, 4=Agree, 5=Strongly Agree"
